관저고,누가거리,결과
73.09,"2,361.36","관저고 73.09 에 누가거리 2,361.36"
73.09,"2,365.87","관저고 73.09 에 누가거리 2,365.87"
73.35,"2,368.49","관저고 73.35 에 누가거리 2,368.49"
74.73,"2,374.38","관저고 74.73 에 누가거리 2,374.38"
75.61,"2,376.65","관저고 75.61 에 누가거리 2,376.65"
75.61,"2,376.86","관저고 75.61 에 누가거리 2,376.86"
75.61,"2,377.46","관저고 75.61 에 누가거리 2,377.46"
75.61,"2,379.93","관저고 75.61 에 누가거리 2,379.93"
75.83,"2,381.04","관저고 75.83 에 누가거리 2,381.04"
75.83,"2,384.70","관저고 75.83 에 누가거리 2,384.70"
75.83,"2,399.39","관저고 75.83 에 누가거리 2,399.39"
75.83,"2,399.60","관저고 75.83 에 누가거리 2,399.60"
77.82,"2,401.59","관저고 77.82 에 누가거리 2,401.59"
77.82,"2,402.87","관저고 77.82 에 누가거리 2,402.87"
78.32,"2,418.74","관저고 78.32 에 누가거리 2,418.74"
81.19,"2,486.58","관저고 81.19 에 누가거리 2,486.58"
82.04,"2,502.50","관저고 82.04 에 누가거리 2,502.50"
83.48,"2,520.00","관저고 83.48 에 누가거리 2,520.00"
85.02,"2,549.84","관저고 85.02 에 누가거리 2,549.84"
85.02,"2,553.75","관저고 85.02 에 누가거리 2,553.75"
85.28,"2,554.38","관저고 85.28 에 누가거리 2,554.38"
87.37,"2,590.26","관저고 87.37 에 누가거리 2,590.26"
89.19,"2,625.87","관저고 89.19 에 누가거리 2,625.87"
89.19,"2,631.05","관저고 89.19 에 누가거리 2,631.05"
89.19,"2,660.31","관저고 89.19 에 누가거리 2,660.31"
89.19,"2,660.65","관저고 89.19 에 누가거리 2,660.65"
90.05,"2,661.52","관저고 90.05 에 누가거리 2,661.52"
90.05,"2,664.30","관저고 90.05 에 누가거리 2,664.30"
90.05,"2,668.81","관저고 90.05 에 누가거리 2,668.81"
90.05,"2,669.12","관저고 90.05 에 누가거리 2,669.12"
91.02,"2,670.09","관저고 91.02 에 누가거리 2,670.09"
91.32,"2,675.65","관저고 91.32 에 누가거리 2,675.65"
91.89,"2,702.33","관저고 91.89 에 누가거리 2,702.33"
91.89,"2,713.96","관저고 91.89 에 누가거리 2,713.96"
91.89,"2,809.33","관저고 91.89 에 누가거리 2,809.33"
91.89,"2,818.32","관저고 91.89 에 누가거리 2,818.32"
90.62,"2,872.53","관저고 90.62 에 누가거리 2,872.53"
90.39,"2,873.08","관저고 90.39 에 누가거리 2,873.08"
90.39,"2,877.23","관저고 90.39 에 누가거리 2,877.23"
87.35,"2,935.60","관저고 87.35 에 누가거리 2,935.60"
86.24,"2,936.71","관저고 86.24 에 누가거리 2,936.71"
86.24,"2,937.17","관저고 86.24 에 누가거리 2,937.17"
86.24,"3,000.00","관저고 86.24 에 누가거리 3,000.00"
86.24,"3,003.35","관저고 86.24 에 누가거리 3,003.35"
81.18,"3,064.90","관저고 81.18 에 누가거리 3,064.90"
80.48,"3,080.00","관저고 80.48 에 누가거리 3,080.00"
77.81,"3,113.87","관저고 77.81 에 누가거리 3,113.87"
76.67,"3,133.55","관저고 76.67 에 누가거리 3,133.55"
75.70,"3,160.00","관저고 75.70 에 누가거리 3,160.00"
74.64,"3,172.55","관저고 74.64 에 누가거리 3,172.55"
74.51,"3,179.76","관저고 74.51 에 누가거리 3,179.76"
72.66,"3,181.61","관저고 72.66 에 누가거리 3,181.61"
72.66,"3,181.81","관저고 72.66 에 누가거리 3,181.81"
72.66,"3,201.19","관저고 72.66 에 누가거리 3,201.19"
72.66,"3,202.60","관저고 72.66 에 누가거리 3,202.60"
72.17,"3,203.05","관저고 72.17 에 누가거리 3,203.05"
72.17,"3,203.60","관저고 72.17 에 누가거리 3,203.60"
